ingredient_id,ingredient_name,ingredient_name_tr,ef_gco2e_per_g,source,geography,year,synonyms,default_portion_g,category,seasonality_winter_factor,notes
sugar,Sugar,Şeker,0.8,"Agribalyse 3.1",EU,2023,"seker,sugar,toz seker",20,sweetener,1.0,"Refined sugar"
honey,Honey,Bal,1.2,"Agribalyse 3.1",EU,2023,"bal,honey",20,sweetener,1.0,"Natural sweetener"
chocolate,Dark Chocolate,Bitter Çikolata,5.0,"Poore & Nemecek (2018)",Global,2018,"cikolata,chocolate,bitter,kakao",30,sweetener,1.0,"Cocoa based"
nuts_almond,Almonds,Badem,2.3,"Agribalyse 3.1",EU,2023,"badem,almond",30,nuts,1.0,"Water intensive"
nuts_walnut,Walnuts,Ceviz,1.5,"Agribalyse 3.1",EU,2023,"ceviz,walnut",30,nuts,1.0,"Tree nut"
nuts_hazelnut,Hazelnuts,Fındık,1.2,"Agribalyse 3.1",EU,2023,"findik,hazelnut",30,nuts,1.0,"Turkey is major producer"
nuts_pistachio,Pistachios,Antep Fıstığı,2.0,"Agribalyse 3.1",EU,2023,"antep fistigi,pistachio",30,nuts,1.0,"Premium nut"
sesame,Sesame Seeds,Susam,2.5,"Agribalyse 3.1",EU,2023,"susam,sesame,tahin",15,nuts,1.0,"Seeds"
coffee,Coffee,Kahve,8.0,"Poore & Nemecek (2018)",Global,2018,"kahve,coffee,turk kahvesi",10,beverage,1.0,"Per cup ~80g CO2e"
tea,Tea,Çay,1.5,"Agribalyse 3.1",EU,2023,"cay,tea,siyah cay",3,beverage,1.0,"Per cup ~5g CO2e"
wine,Wine,Şarap,1.8,"Agribalyse 3.1",EU,2023,"sarap,wine,kirmizi sarap",150,beverage,1.0,"Per glass"
beer,Beer,Bira,0.9,"Agribalyse 3.1",EU,2023,"bira,beer",330,beverage,1.0,"Per can"
salt,Salt,Tuz,0.1,"Agribalyse 3.1",EU,2023,"tuz,salt",5,spice,1.0,"Minimal impact"
black_pepper,Black Pepper,Karabiber,1.0,"Agribalyse 3.1",EU,2023,"karabiber,black pepper",2,spice,1.0,"Dried spice"
cumin,Cumin,Kimyon,1.2,"Agribalyse 3.1",EU,2023,"kimyon,cumin",2,spice,1.0,"Common spice"
paprika,Paprika,Kırmızı Biber,1.5,"Agribalyse 3.1",EU,2023,"kirmizi biber,paprika,pul biber",5,spice,1.0,"Dried pepper"
parsley,Parsley,Maydanoz,0.6,"Agribalyse 3.1",EU,2023,"maydanoz,parsley",10,herb,1.2,"Fresh herb"
mint,Mint,Nane,0.5,"Agribalyse 3.1",EU,2023,"nane,mint,taze nane",10,herb,1.2,"Fresh herb"
dill,Dill,Dereotu,0.5,"Agribalyse 3.1",EU,2023,"dereotu,dill",10,herb,1.2,"Fresh herb"
basil,Basil,Fesleğen,0.7,"Agribalyse 3.1",EU,2023,"feslegen,basil",10,herb,1.3,"Often greenhouse grown"
